Nombre del anuncio,Resultados,Alcance,Impresiones,Coste_resultados,Importe_gastado,Dias_transcurridos,Clasificacion_descripcion,Lugar_descripcion,Objetivo_descripcion,Red_Social_descripcion,Name
24031101CVAESPEMUJERHIDA18-MAMUJTHRFB Live Mujeres,4475,7666,7946,0.057593,257.73,1,Especiales,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24031101CVAESPEGENERHIDA18-MAHYMTHRFB Live Mujeres,9364,16600,17514,0.063637,595.9,19,Especiales,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24031101CVAESPEMUJERHIDA18-MAMUJTHRFB Live Mujeres,4574,6173,6228,0.060785,278.03,0,Especiales,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24031103CVATERRGENERHIDA18-MAHYMINTFB Comerciantes Paco Olvera,17916,86830,115581,0.111632,2000,14,Territorio,Hidalgo,Interacción,Facebook,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24040603CVATERRGENERHIDA18-MAHYMINTFB Xótchil Tepeji,5563,34748,44149,0.150969,839.84,1,Territorio,Hidalgo,Interacción,Facebook,CVA Púrpura-Analytics-Anuncios-07-abr-2024-7-abr-2024.xlsx
24040603CVATERRGENERHIDA18-MAHYMINTFB Xótchil Tepeji V2,6726,55211,77913,0.172483,1160.12,0,Territorio,Hidalgo,Interacción,Facebook,CVA Púrpura-Analytics-Anuncios-08-abr-2024-8-abr-2024.xlsx
24041203CVATERRJOVENHIDA18-24HYMINTFB Universidad Inecuh,904,8720,13940,0.773628,699.36,1,Territorio,Hidalgo,Interacción,Facebook,CVA Púrpura-Analytics-Anuncios-13-abr-2024-13-abr-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,3642,6323,7103,0.067501,245.84,16,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-15-mar-2024-15-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,2164,3464,3667,0.07159,154.92,15,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,4382,7249,8189,0.065228,285.83,17,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-14-mar-2024-14-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,2284,4344,4613,0.077487,176.98,14,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,1896,13004,13853,0.109499,207.61,16,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-15-mar-2024-15-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,16943,43953,45282,0.07575,1283.43,16,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-15-mar-2024-15-mar-2024.xlsx
24031501CVAATRIGENERHIDA18-MAHYMTHRIN Mercado Vendedora,8499,32946,34428,0.046695,396.86,16,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-15-mar-2024-15-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,1153,6255,6471,0.095447,110.05,15,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,27334,47023,49532,0.075952,2076.08,15,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24031501CVAATRIGENERHIDA18-MAHYMTHRIN Mercado Vendedora,10485,43203,45695,0.050408,528.53,15,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,2263,12309,12537,0.089863,203.36,17,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-14-mar-2024-14-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,18938,47864,50565,0.070683,1338.59,17,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-14-mar-2024-14-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,1658,9048,9272,0.094976,157.47,14,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,22824,50920,53886,0.079707,1819.23,14,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx
24031701CVAATRIGENERHIDA18-MAHYMTHRIN Defender Niñez,20992,33907,35180,0.092637,1944.63,0,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,6074,7805,8946,0.07163,435.08,12,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-19-mar-2024-19-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,933,2095,2195,0.07418,69.21,12,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-19-mar-2024-19-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,28836,38235,39868,0.069185,1995.01,12,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-19-mar-2024-19-mar-2024.xlsx
24030201CVAESTRGENERHIDA18-MAHYMTHRIN Spot Pensiones,11198,14848,15685,0.074029,828.98,12,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-19-mar-2024-19-mar-2024.xlsx
24031804CVAATRIGENERHIDA18-MAHYMTHRIN Lucha Histórica,1307,5557,6105,0.076067,99.42,12,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-19-mar-2024-19-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,3540,5262,5676,0.069701,246.74,13,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,2752,7199,7741,0.078299,215.48,13,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,53378,75091,79743,0.070111,3742.39,13,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx
24031804CVAATRIGENERHIDA18-MAHYMTHRIN Lucha Histórica,611,2609,2697,0.067921,41.5,13,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-18-mar-2024-18-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,17039,23126,24339,0.080613,1373.56,11,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-20-mar-2024-20-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,21138,26232,29655,0.075879,1603.94,9,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-22-mar-2024-22-mar-2024.xlsx
24032001CVAATRIGENERHIDA18-MAHYMTHRIN Live Día Agua,7801,32868,34466,0.088076,687.08,9,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-22-mar-2024-22-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,36561,44123,52687,0.079279,2898.51,10,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-21-mar-2024-21-mar-2024.xlsx
24032001CVAATRIGENERHIDA18-MAHYMTHRIN Live Día Agua,4763,25096,27408,0.089609,426.81,10,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-21-mar-2024-21-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,3899,8722,9530,0.051795,201.95,30,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-01-mar-2024-1-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,18672,59289,63128,0.050739,947.4,30,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-01-mar-2024-1-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,9064,26813,28713,0.054683,495.65,30,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-01-mar-2024-1-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,3921,9686,11403,0.057424,225.16,29,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,13322,42121,45681,0.054625,727.72,29,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,16803,45696,49333,0.055364,930.28,29,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx
24030201CVAESTRGENERHIDA18-MAHYMTHRIN Spot Pensiones,6969,14769,15772,0.054893,382.55,29,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx
24030201CVAESTRGENERHIDA18-MAHYMTHRDP Spot Pensiones,8529,16483,16795,0.056619,482.9,29,Estratégicas,Hidalgo,ThruPlay,Dark Post,CVA Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,353,732,743,0.052295,18.46,27,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,221,1159,1176,0.068416,15.12,27,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,1718,4986,5050,0.062707,107.73,27,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,2882,5189,5587,0.053432,153.99,26,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,1205,5844,6077,0.064614,77.86,26,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,9888,24218,25276,0.05611,554.82,26,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030501CVAESPEGENERHIDA18-MAHYMTHRIN Anuncio Live Agua,10490,28445,29542,0.052814,554.02,2,Especiales,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,3706,7470,8534,0.058122,215.4,25,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,2395,10166,10703,0.067666,162.06,25,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,24204,54586,57433,0.059715,1445.35,25,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030602CVAATRIGENERHIDA18-MAHYMTHRIN Defender México,1617,5920,6150,0.063432,102.57,1,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,711,1521,1600,0.063221,44.95,24,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,865,4103,4252,0.075052,64.92,24,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,7303,16285,16603,0.066464,485.39,24,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
24030602CVAATRIGENERHIDA18-MAHYMTHRIN Defender México,775,3958,4586,0.07311,56.66,0,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,9554,15065,17242,0.064417,615.44,23,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-08-mar-2024-8-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,4158,12579,13090,0.07259,301.83,23,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-08-mar-2024-8-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,44995,79317,84731,0.067674,3044.98,23,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-08-mar-2024-8-mar-2024.xlsx
24030803CVAESPEGENERHIDA18-MAHYMTHRIN Monumento Mujer,20873,54826,60197,0.071863,1500,4,Especiales,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-08-mar-2024-8-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,4460,7739,8980,0.065094,290.32,21,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-10-mar-2024-10-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,4366,14616,15924,0.07355,321.12,21,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-10-mar-2024-10-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,55883,90424,100747,0.064026,3577.94,21,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-10-mar-2024-10-mar-2024.xlsx
24030903CVAATRIGENERHIDA18-MAHYMTHRIN Productores Negociar,8073,14354,17582,0.074042,597.74,2,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-10-mar-2024-10-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,3586,4905,5270,0.052766,189.22,20,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,1524,4024,4238,0.059685,90.96,20,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,28116,41056,43160,0.054781,1540.23,20,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24031101CVAESPEGENERHIDA18-MAHYMTHRIN Live Mujeres,5310,11561,12339,0.060047,318.85,20,Especiales,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24031101CVAESPEMUJERHIDA18-MAMUJTHRIN Live Mujeres,3987,6121,6492,0.056586,225.61,1,Especiales,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24031102CVAATRIGENERHIDA18-MAHYMTHRIN Receta Café,4489,17161,18406,0.054286,243.69,6,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,2034,2849,3086,0.059995,122.03,19,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,1794,5625,6073,0.073919,132.61,19,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,20669,34938,37298,0.062786,1297.73,19,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24031101CVAESPEGENERHIDA18-MAHYMTHRIN Live Mujeres,6510,9210,9746,0.061283,398.95,19,Especiales,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24031101CVAESPEMUJERHIDA18-MAMUJTHRIN Live Mujeres,3907,5132,5428,0.061078,238.63,0,Especiales,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24031102CVAATRIGENERHIDA18-MAHYMTHRIN Receta Café,1882,9016,9493,0.066169,124.53,5,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24031104CVAATRIGENERHIDA18-MAHYMTHRIN Gualumbos Pemuches,8673,34521,39231,0.059434,515.47,5,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,2796,4677,5135,0.063984,178.9,18,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-13-mar-2024-13-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRIN Inicio Sierra,2697,12779,13326,0.085476,230.53,18,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-13-mar-2024-13-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRIN Día Especial,17780,43389,45671,0.068397,1216.09,18,Atributos,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-13-mar-2024-13-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,24738,30045,35195,0.078018,1930.02,8,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-23-mar-2024-23-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,15960,73341,80464,0.226002,3606.99,6,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-25-mar-2024-25-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,15343,23003,25180,0.091672,1406.53,5,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-26-mar-2024-26-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,15583,19404,21216,0.068445,1066.58,4,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-27-mar-2024-27-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,10044,14429,15632,0.077696,780.38,3,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-28-mar-2024-28-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,18492,23525,26274,0.077645,1435.81,1,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-30-mar-2024-30-mar-2024.xlsx
24030101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,16716,20624,22850,0.069633,1163.98,0,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-31-mar-2024-31-mar-20242.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,6227,7723,7899,0.04761,296.47,29,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-01-abr-2024-1-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,30830,35240,40727,0.057814,1782.4,28,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-02-abr-2024-2-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,26885,33737,38607,0.062756,1687.19,27,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-03-abr-2024-3-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,23364,27512,30451,0.059551,1391.35,26,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-04-abr-2024-4-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,21261,25256,28409,0.061306,1303.42,25,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-05-abr-2024-5-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,17688,21720,23802,0.063972,1131.53,24,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-06-abr-2024-6-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña,6580,8580,8733,0.06453,424.61,23,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-07-abr-2024-7-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña V2,23349,28024,31248,0.060345,1408.99,22,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-08-abr-2024-8-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña V2,20846,23336,27258,0.058775,1225.22,21,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-09-abr-2024-9-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña V2,776,978,994,0.060709,47.11,20,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-10-abr-2024-10-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña V2,7656,10371,10857,0.071874,550.27,19,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-11-abr-2024-11-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña V2,26375,30423,34676,0.07179,1893.47,18,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-12-abr-2024-12-abr-2024.xlsx
24040101CVAESTRGENERHIDA18-MAHYMTHRIN Inicio Campaña V2,26552,29743,35334,0.074605,1980.92,17,Estratégicas,Hidalgo,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-13-abr-2024-13-abr-2024.xlsx
24031601CVAATRIGENERAPAN18-MAHYMTHRIN Mantel Firma,3883,14221,25938,0.252073,978.8,0,Atributos,Apán,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24031602CVAATRIGENERSBTU18-MAHYMTHRIN María Pasquel,36,83,92,0.029444,1.06,1,Atributos,San Bartolo Tultepec,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-16-mar-2024-16-mar-202.xlsx
24031602CVAATRIGENERSBTU18-MAHYMTHRIN María Pasquel,1942,7019,10263,0.208502,404.91,0,Atributos,San Bartolo Tultepec,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-17-mar-2024-17-mar-2024.xlsx
24031402CVAESPEGENERTEHU18-MAHYMTHRIN CC Tehuetlán Unidad Deportiva,2092,5670,16361,0.223188,466.91,0,Especiales,Tehuetlán,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-15-mar-2024-15-mar-2024.xlsx
24031402CVAESPEGENERTEHU18-MAHYMTHRIN CC Tehuetlán Unidad Deportiva,1312,3518,6767,0.148247,194.5,1,Especiales,Tehuetlán,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-14-mar-2024-14-mar-2024.xlsx
24030303CVAATRIGENERPACH18-MAHYMTHRDP Falsas Promesas Agua,16507,42117,48709,0.039433,650.92,1,Atributos,Pachuca,ThruPlay,Dark Post,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030303CVAATRIGENERTULN18-MAHYMTHRDP Falsas Promesas Agua,3302,7420,8092,0.044912,148.3,1,Atributos,Tulancingo,ThruPlay,Dark Post,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030303CVAATRIGENERPACH18-MAHYMTHRDP Falsas Promesas Agua,8997,23740,27508,0.052614,473.37,0,Atributos,Pachuca,ThruPlay,Dark Post,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030303CVAATRIGENERTULN18-MAHYMTHRDP Falsas Promesas Agua,9161,19840,23382,0.054765,501.7,0,Atributos,Tulancingo,ThruPlay,Dark Post,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030501CVAESPEGENERPACH18-MAHYMTHRIN Anuncio Live Agua,11714,27597,32687,0.097301,1139.78,7,Especiales,Pachuca,ThruPlay,Instagram,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
