Nombre del anuncio,Resultados,Alcance,Impresiones,Coste_resultados,Importe_gastado,Dias_transcurridos,Clasificacion_descripcion,Lugar_descripcion,Objetivo_descripcion,Red_Social_descripcion,Name
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,53760,112421,124754,0.053717,2887.84,29,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-02-mar-2024-2-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,3735,16857,17130,0.061735,230.58,27,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,4971,16505,16909,0.058896,292.77,27,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-04-mar-2024-4-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,26460,98534,107257,0.058042,1535.79,26,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,22189,56755,63745,0.055342,1227.98,26,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-05-mar-2024-5-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,22232,106999,114788,0.06584,1463.76,25,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,31917,86422,92888,0.060625,1934.97,25,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030602CVAATRIGENERHIDA18-MAHYMTHRFB Defender México,6604,23608,25245,0.049367,326.02,1,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-mar-2024-6-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,9879,48961,51785,0.072481,716.04,24,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,7257,25483,25483,0.070289,510.09,24,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
24030602CVAATRIGENERHIDA18-MAHYMTHRFB Defender México,17829,72332,81620,0.056916,1014.75,0,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-mar-2024-7-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,24475,125905,138342,0.078384,1918.44,23,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-08-mar-2024-8-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,27025,65154,72366,0.069562,1879.9,23,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-08-mar-2024-8-mar-2024.xlsx
24030801CVAATRIMUJERHIDA18-MAMUJINTFB Marcha 8M,18166,101526,121700,0.082572,1500,16,Atributos,Hidalgo,Interacción,Facebook,CVA Púrpura-Analytics-Anuncios-08-mar-2024-8-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,30808,157753,171179,0.080348,2475.37,21,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-10-mar-2024-10-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,43823,96080,112028,0.06664,2920.38,21,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-10-mar-2024-10-mar-2024.xlsx
24030903CVAATRIGENERHIDA18-MAHYMTHRFB Productores Negociar,19325,31934,40123,0.072562,1402.26,2,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-10-mar-2024-10-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,13409,62122,65071,0.066669,893.96,20,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,18748,34880,37031,0.055873,1047.5,20,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24031102CVAATRIGENERHIDA18-MAHYMTHRFB Receta Café,3895,13356,14941,0.052675,205.17,6,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-11-mar-2024-11-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,14163,79661,84866,0.084976,1203.51,19,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,36944,65370,72209,0.064055,2366.46,19,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24031102CVAATRIGENERHIDA18-MAHYMTHRFB Receta Café,2771,11712,13001,0.066449,184.13,5,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24031104CVAATRIGENERHIDA18-MAHYMTHRFB Gualumbos Pemuches,12176,53530,60338,0.059708,727.01,5,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-12-mar-2024-12-mar-2024.xlsx
24030102CVAATRIGENERHIDA18-MAHYMTHRFB Inicio Sierra,12992,73469,78898,0.086837,1128.19,18,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-13-mar-2024-13-mar-2024.xlsx
24030103CVAATRIGENERHIDA18-MAHYMTHRFB Día Especial,35552,80119,86737,0.069068,2455.49,18,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-13-mar-2024-13-mar-2024.xlsx
24032201CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,35908,120278,136320,0.080313,2883.89,8,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-23-mar-2024-23-mar-2024.xlsx
24032201CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,12495,24558,27956,0.074387,929.46,8,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-23-mar-2024-23-mar-2024.xlsx
24032201CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,8956,22773,24934,0.074889,670.71,8,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-23-mar-2024-23-mar-2024.xlsx
24032201CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,18705,93514,99913,0.178285,3334.82,6,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-25-mar-2024-25-mar-2024.xlsx
24032201CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,6164,28847,31452,0.195258,1203.57,6,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-25-mar-2024-25-mar-2024.xlsx
24032201CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,6300,34459,37356,0.229459,1445.59,6,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-25-mar-2024-25-mar-2024.xlsx
24032201CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,25375,62999,67394,0.071967,1826.17,5,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-26-mar-2024-26-mar-2024.xlsx
24032201CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,4841,12027,12936,0.072483,350.89,5,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-26-mar-2024-26-mar-2024.xlsx
24032201CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,4635,12132,13041,0.073877,342.42,5,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-26-mar-2024-26-mar-2024.xlsx
24032301CVAATRIGENERHIDA18-MAHYMTHRFB Ep04 Alma y Corazón,15552,51796,56911,0.078076,1214.24,5,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-26-mar-2024-26-mar-2024.xlsx
24032601CVAATRIGENERHIDA18-MAHYMTHRFB Tren Maya,12136,27437,29889,0.064746,785.76,5,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-26-mar-2024-26-mar-2024.xlsx
24032201CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,26825,89660,94728,0.078118,2095.52,4,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-27-mar-2024-27-mar-2024.xlsx
24032201CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,3043,10226,10807,0.079445,241.75,4,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-27-mar-2024-27-mar-2024.xlsx
